Year,SSP1,SSP2,SSP3,SSP4,SSP5
2000,33972122,33972122,33972122,33972122,33972122
2005,38887332,38887332,38887332,38887332,38887332
2010,44474669,44474669,44474669,44474669,44474669
2015,51608414,51608414,51608414,51608414,51608414
2020,60771967,60771967,60771967,60771967,60771967
2025,69624166,70253767,70627588,70594835,69440212
2030,78321695,80356433,81427955,81419098,77887454
2035,86819036,90927331,93487120,93525803,86070371
2040,94999711,101857332,106860317,106942958,93879800
2045,103113219,113025853,121110329,121213534,101567303
2050,110991630,124208312,136198752,136294931,108968343
2055,118012106,134956839,151725821,151766173,115470199
2060,124121045,145251533,167831609,167761532,121026479
2065,129401588,154926012,184022096,183802409,125778313
2070,133826841,163812307,199958559,199543913,129715390
2075,137510874,172033339,215859268,215217525,132963406
2080,140278679,179177707,230953028,230043474,135365877
2085,142054033,185014429,244747325,243528158,136861428
2090,142872600,189580423,257393783,255863747,137495207
2095,142844777,193127668,269307379,267465493,137381645
2100,142035538,195843027,280720881,278542998,136587949
