Year,"Incidence of malaria (per 1,000 population at risk)",Total Population
2000,337.7,34260139
2001,321.86,35198299
2002,300.38,36121304
2003,280.98,37089555
2004,266.91,38109668
2005,252.52,39182076
2006,226.27,40294902
2007,198.47,41435512
2008,175.03,42570728
2009,155.78,43633982
2010,145.63,44758488
2011,133.03,46029367
2012,121.43,47374260
2013,131.35,48824128
2014,145.44,50351512
2015,141.24,52020962
2016,133.91,53824013
2017,122.93,55652890
2018,110.65,57437145
2019,114.39,59174891
2020,121.33,60972798
2021,131.65,62830412
2022,131.47,64711821
2023,128.42,66617606
