Year,total Incidence
1-1-2000,11693485.56
1-1-2001,12570169.92
1-1-2002,12770330.29
1-1-2003,12757714.13
1-1-2004,12214771.02
1-1-2005,12126148.85
1-1-2006,12131212.92
1-1-2007,12318436.33
1-1-2008,12764332.95
1-1-2009,13305451.26
1-1-2010,13261981.46
1-1-2011,13164361.69
1-1-2012,12929967.27
1-1-2013,11744068.73
1-1-2014,10710565.84
1-1-2015,9514776.651
1-1-2016,10985481.32
1-1-2017,11848442.7
1-1-2018,10918994.65
1-1-2019,11295641.72
1-1-2020,12617719.52
1-1-2021,12068951.88
1-1-2022,12668031.14
