Year,Suspected cases,Presumed & confirmed cases,Confirmed cases,Reporting completeness (%)
2010,15452268,12893898,1279362,NA
2011,15442493,10516508,2518236,NA
2012,14606506,11947129,1987669,NA
2013,15177829,8587728,1554690,NA
2014,25197617,7403691,2860804,NA
2015,20829480,8406354,4902828,90
2016,17881657,6624054,5762462,99
2017,20276522,5988138,5744097,99
2018,22784288,6558257,6392846,98
2019,20997372,6575185,6485437,98
2020,22471902,6346069,6308276,96
2021,20794633,4632180,4623393,96
2022,19062775,3666741,3661208,94
2023,21239449,3775205,3772781,93
