Year,"Total Population, as of 1 July (thousands)"
2010,44758488
2011,46029367
2012,47374260
2013,48824128
2014,50351512
2015,52020962
2016,53824013
2017,55652890
2018,57437145
2019,59174891
2020,60972798
2021,62830412
2022,64711821
2023,66617606
2024,68560157
2025,70545865
2026,72563780
2027,74604808
2028,76670492
2029,78773195
2030,80913124
2031,83087938
2032,85293133
2033,87520493
2034,89788678
2035,92091429
2036,94420812
2037,96775777
2038,99156471
2039,101567530
2040,103999359
2041,106448480
2042,108926277
2043,111433794
2044,113966272
2045,116525473
2046,119109675
2047,121721027
2048,124351302
2049,126981406
2050,129621102
2051,132280447
2052,134947338
2053,137623542
2054,140321278
2055,143049421
2056,145803872
2057,148564295
2058,151321489
2059,154082241
2060,156850592
2061,159634033
2062,162433739
2063,165240212
2064,168047180
2065,170875356
2066,173697364
2067,176492989
2068,179288247
2069,182085990
2070,184885708
2071,187680954
2072,190465797
2073,193247337
2074,196034262
2075,198812940
2076,201583013
2077,204343865
2078,207088057
2079,209822259
2080,212537418
2081,215229470
2082,217903515
2083,220561527
2084,223212513
2085,225866209
2086,228511354
2087,231124134
2088,233711112
2089,236276109
2090,238809591
2091,241325554
2092,243825084
2093,246295329
2094,248729231
2095,251132949
2096,253520804
2097,255892767
2098,258233882
2099,260543975
2100,262834721
