Year,Population
2000,24000150
2001,24745676
2002,25532870
2003,26352124
2004,27154515
2005,27963289
2006,28794003
2007,29653430
2008,30539553
2009,31451151
2010,32390802
2011,33354543
2012,34337438
2013,35337042
2014,36395539
2015,37531446
2016,38799152
2017,40177388
2018,41565831
2019,42999637
2020,44457152
2021,45910930
2022,47312719
2023,48656601
2024,50015092
2025,51384894
2026,52761469
2027,54144272
2028,55532558
2029,56922790
2030,58312940
2031,59703535
2032,61089056
2033,62464107
2034,63833868
2035,65205574
2036,66573733
2037,67942632
2038,69312208
2039,70669875
2040,72020418
