Year,Population
2000,24000150
2001,24745676
2002,25532870
2003,26352124
2004,27154515
2005,27963289
2006,28794003
2007,29653430
2008,30539553
2009,31451151
2010,32390802
2011,33354543
2012,34337438
2013,35337042
2014,36395539
2015,37531446
2016,38799152
2017,40177388
2018,41565831
2019,42999637
2020,44457152
2021,45910930
2022,47312719
2023,48656601
2024,50015092
2025,51384894
2026,52761469
2027,54144272
2028,55532558
2029,56922790
2030,58312940
2031,59703535
2032,61089056
2033,62464107
2034,63833868
2035,65205574
2036,66573733
2037,67942632
2038,69312208
2039,70669875
2040,72020418
2041,73372653
2042,74730004
2043,76090990
2044,77449521
2045,78797992
2046,80139175
2047,81478502
2048,82812095
2049,84130053
2050,85431202
2051,86718842
2052,87994728
2053,89259476
2054,90505891
2055,91729147
2056,92930867
2057,94115087
2058,95281800
2059,96426132
2060,97542311
2061,98640640
2062,99723532
2063,100778773
2064,101810174
2065,102815037
2066,103793951
2067,104749950
2068,105679495
2069,106581041
2070,107461466
2071,108317272
2072,109144755
2073,109944913
2074,110717753
2075,111470717
2076,112201024
2077,112898955
2078,113567433
2079,114203980
2080,114812179
2081,115393561
2082,115943223
2083,116468068
2084,116958194
2085,117410683
2086,117831254
2087,118229691
2088,118604118
2089,118950728
2090,119267678
2091,119548482
2092,119802177
2093,120030493
2094,120223595
2095,120394755
2096,120537698
2097,120644959
2098,120728726
2099,120794428
2100,120835192
